misc46.gif[0] GIF 900x150+0+0 PseudoClass 2c 8-bit 1.2Mi 0.000u 0m:0.000004s
misc46.gif[78] GIF 450x50+126+48 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000058s
misc46.gif[79] GIF 450x50+152+46 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000059s
misc46.gif[80] GIF 450x50+181+52 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000059s
misc46.gif[81] GIF 450x50+190+52 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000114s
misc46.gif[82] GIF 450x50+320+51 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000069s
misc46.gif[83] GIF 450x50+302+49 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000058s
misc46.gif[84] GIF 450x50+319+49 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000057s
misc46.gif[85] GIF 450x50+313+52 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000059s
misc46.gif[86] GIF 450x50+212+48 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000058s
misc46.gif[87] GIF 450x50+141+48 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000056s
misc46.gif[88] GIF 450x50+311+49 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000058s
misc46.gif[89] GIF 450x50+332+52 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000055s
misc46.gif[90] GIF 450x50+150+51 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000058s
misc46.gif[91] GIF 450x50+130+48 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000058s
misc46.gif[92] GIF 450x50+216+51 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000060s
misc46.gif[93] GIF 450x50+245+51 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000058s
misc46.gif[94] GIF 450x50+191+49 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000057s
misc46.gif[95] GIF 450x50+206+50 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000059s
misc46.gif[96] GIF 450x50+160+47 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000055s
misc46.gif[97] GIF 450x50+184+49 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000060s
misc46.gif[98] GIF 450x50+163+46 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000057s
misc46.gif[99] GIF 450x50+325+46 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000065s
misc46.gif[100] GIF 450x50+324+46 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000058s
misc46.gif[101] GIF 450x50+239+46 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000063s
misc46.gif[102] GIF 450x50+186+52 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000058s
misc46.gif[103] GIF 450x50+250+48 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000055s
misc46.gif[104] GIF 450x50+330+52 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000055s
misc46.gif[105] GIF 450x50+178+48 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000060s
misc46.gif[106] GIF 450x50+193+49 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000055s
misc46.gif[107] GIF 450x50+268+52 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000056s
misc46.gif[108] GIF 450x50+124+50 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000055s
misc46.gif[109] GIF 450x50+199+48 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000056s
misc46.gif[110] GIF 450x50+316+50 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000058s
misc46.gif[111] GIF 450x50+114+50 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000073s
misc46.gif[112] GIF 450x50+169+46 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000061s
misc46.gif[113] GIF 450x50+204+48 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000060s
misc46.gif[114] GIF 450x50+176+51 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000057s
misc46.gif[115] GIF 450x50+322+49 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000056s
misc46.gif[116] GIF 450x50+257+51 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000056s
misc46.gif[117] GIF 450x50+175+48 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000059s
misc46.gif[118] GIF 450x50+114+47 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000067s
misc46.gif[119] GIF 450x50+192+52 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000059s
misc46.gif[120] GIF 450x50+230+47 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000072s
misc46.gif[121] GIF 450x50+322+48 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000055s
misc46.gif[122] GIF 450x50+339+46 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000054s
misc46.gif[123] GIF 450x50+147+50 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000054s
misc46.gif[124] GIF 450x50+248+48 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000056s
misc46.gif[125] GIF 450x50+152+52 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000058s
misc46.gif[126] GIF 450x50+302+50 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000056s
misc46.gif[127] GIF 450x50+217+49 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000059s
misc46.gif[128] GIF 450x50+257+49 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000060s
misc46.gif[129] GIF 450x50+341+50 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000057s
misc46.gif[130] GIF 450x50+214+46 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000082s
misc46.gif[131] GIF 450x50+197+48 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000065s
misc46.gif[132] GIF 450x50+168+52 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000067s
misc46.gif[133] GIF 450x50+126+52 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000057s
misc46.gif[134] GIF 450x50+326+50 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000056s
misc46.gif[135] GIF 450x50+142+52 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000057s
misc46.gif[136] GIF 450x50+129+47 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000082s
misc46.gif[137] GIF 450x50+250+50 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000073s
misc46.gif[138] GIF 450x50+318+49 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000067s
misc46.gif[139] GIF 450x50+127+51 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000066s
misc46.gif[140] GIF 450x50+329+46 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000064s
misc46.gif[141] GIF 450x50+236+49 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000056s
misc46.gif[142] GIF 450x50+226+52 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000069s
misc46.gif[143] GIF 450x50+253+48 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000075s
misc46.gif[144] GIF 450x50+107+50 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000073s
misc46.gif[145] GIF 450x50+272+49 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000065s
misc46.gif[146] GIF 450x50+305+48 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000085s
misc46.gif[147] GIF 450x50+260+46 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000066s
misc46.gif[148] GIF 450x50+281+48 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000076s
misc46.gif[149] GIF 450x50+156+46 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000056s
misc46.gif[150] GIF 450x50+158+49 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000059s
misc46.gif[151] GIF 450x50+226+51 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000064s
misc46.gif[152] GIF 450x50+216+50 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000073s
misc46.gif[153] GIF 450x50+248+52 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000057s
misc46.gif[154] GIF 450x50+244+46 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000063s
misc46.gif[155] GIF 450x50+331+52 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000068s
misc46.gif[156] GIF 450x50+172+47 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000064s
misc46.gif[157] GIF 450x50+249+50 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000069s
misc46.gif[158] GIF 450x50+175+52 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000081s
misc46.gif[159] GIF 450x50+119+51 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000056s
misc46.gif[160] GIF 450x50+307+48 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000058s
misc46.gif[161] GIF 450x50+326+49 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000066s
misc46.gif[162] GIF 450x50+235+48 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000068s
misc46.gif[163] GIF 450x50+188+51 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000055s
misc46.gif[164] GIF 450x50+293+49 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000075s
misc46.gif[165] GIF 450x50+313+46 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000069s
misc46.gif[166] GIF 450x50+168+46 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000067s
misc46.gif[167] GIF 450x50+267+46 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000067s
misc46.gif[168] GIF 450x50+196+46 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000076s
misc46.gif[169] GIF 450x50+284+47 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000065s
misc46.gif[170] GIF 450x50+299+48 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000082s
misc46.gif[171] GIF 450x50+288+52 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000075s
misc46.gif[172] GIF 450x50+211+52 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000060s
misc46.gif[173] GIF 450x50+156+52 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000065s
misc46.gif[174] GIF 450x50+279+46 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000056s
misc46.gif[175] GIF 450x50+271+48 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000082s
misc46.gif[176] GIF 450x50+230+48 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000068s
misc46.gif[177] GIF 450x50+340+46 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000065s
misc46.gif[178] GIF 450x50+269+50 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000056s
misc46.gif[179] GIF 450x50+277+47 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000054s
misc46.gif[180] GIF 450x50+174+52 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000058s
misc46.gif[181] GIF 450x50+313+49 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000075s
misc46.gif[182] GIF 450x50+239+52 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000056s
misc46.gif[183] GIF 450x50+273+46 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000065s
misc46.gif[184] GIF 450x50+196+50 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000080s
misc46.gif[185] GIF 450x50+229+49 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000074s
misc46.gif[186] GIF 450x50+234+50 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000064s
misc46.gif[187] GIF 450x50+162+46 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000078s
misc46.gif[188] GIF 450x50+160+52 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000074s
misc46.gif[189] GIF 450x50+262+52 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000057s
misc46.gif[190] GIF 450x50+178+51 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000066s
misc46.gif[191] GIF 450x50+147+51 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000068s
misc46.gif[192] GIF 450x50+210+46 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000066s
misc46.gif[193] GIF 450x50+182+50 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000055s
misc46.gif[194] GIF 450x50+251+51 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000055s
misc46.gif[195] GIF 450x50+314+51 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000071s
misc46.gif[196] GIF 450x50+314+46 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000055s
misc46.gif[197] GIF 450x50+149+49 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000060s
misc46.gif[198] GIF 450x50+202+50 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000062s
misc46.gif[199] GIF 450x50+261+49 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000067s
misc46.gif[200] GIF 450x50+263+50 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000056s
misc46.gif[201] GIF 450x50+192+49 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000065s
misc46.gif[202] GIF 450x50+298+50 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000236s
misc46.gif[203] GIF 450x50+331+49 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000119s
misc46.gif[204] GIF 450x50+257+47 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000087s
misc46.gif[205] GIF 450x50+257+50 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000081s
misc46.gif[206] GIF 450x50+287+49 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000082s
misc46.gif[207] GIF 450x50+292+47 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000084s
misc46.gif[208] GIF 450x50+161+52 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000063s
misc46.gif[209] GIF 450x50+188+49 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000063s
misc46.gif[210] GIF 450x50+320+50 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000083s
misc46.gif[211] GIF 450x50+215+46 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000057s
misc46.gif[212] GIF 450x50+175+46 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000060s
misc46.gif[213] GIF 450x50+136+52 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000062s
misc46.gif[214] GIF 450x50+290+47 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000068s
misc46.gif[215] GIF 450x50+107+49 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000075s
misc46.gif[216] GIF 450x50+181+46 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000059s
misc46.gif[217] GIF 450x50+269+47 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000072s
misc46.gif[218] GIF 450x50+199+52 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000079s
misc46.gif[219] GIF 450x50+146+52 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000072s
misc46.gif[220] GIF 450x50+203+52 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000072s
misc46.gif[221] GIF 450x50+176+47 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000059s
misc46.gif[222] GIF 450x50+242+52 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000067s
misc46.gif[223] GIF 450x50+265+48 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000061s
misc46.gif[224] GIF 450x50+239+47 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000059s
misc46.gif[225] GIF 450x50+154+50 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000072s
misc46.gif[226] GIF 450x50+241+46 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000068s
misc46.gif[227] GIF 450x50+158+50 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000082s
misc46.gif[228] GIF 450x50+107+51 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000080s
misc46.gif[229] GIF 450x50+120+46 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000062s
misc46.gif[230] GIF 450x50+187+52 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000067s
misc46.gif[231] GIF 450x50+255+52 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000080s
misc46.gif[232] GIF 450x50+194+51 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000062s
misc46.gif[233] GIF 450x50+277+51 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000057s
misc46.gif[234] GIF 450x50+167+46 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000061s
misc46.gif[235] GIF 450x50+332+47 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000073s
misc46.gif[236] GIF 450x50+239+48 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000071s
misc46.gif[237] GIF 450x50+205+48 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000081s
misc46.gif[238] GIF 450x50+272+46 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000062s
misc46.gif[239] GIF 450x50+185+48 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000057s
misc46.gif[240] GIF 450x50+180+46 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000058s
misc46.gif[241] GIF 450x50+157+52 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000088s
misc46.gif[242] GIF 450x50+292+51 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000073s
misc46.gif[243] GIF 450x50+324+49 PseudoClass 16c 8-bit 1.2Mi 0.000u 0m:0.000069s
